id,pdf_link
329991,
329993,
329995,
329997,
329999,
330001,
330003,
330005,
330007,
330010,
330012,
330014,
330016,
330018,
330020,
330022,
330024,
330026,
330028,
330030,
330032,
330034,
330036,
330039,
330041,
330043,
330045,
330048,
330050,
330052,
330054,
330056,
330058,
330060,
330062,
330064,
330066,
330068,
330070,
330072,
330074,
330076,
330078,
330080,
330082,
330085,
330089,
330104,
330106,
330108,
330110,
330112,
330114,
330116,
330118,
330120,
330123,
330125,
330127,
330133,
330142,
330144,
330146,
330148,
330150,
330152,
330154,
330156,
330158,
330160,
330162,
330164,
330166,
330168,
330170,
330172,
330174,
330236,
330248,
330281,
330309,
330318,
330338,
330366,
330396,
330474,
330484,
330486,
330488,
330496,
330498,
330528,
330530,
330532,
330534,
330536,
330541,
330543,
330545,
330547,
330608,
330610,
330634,
330638,
330640,
330643,
330646,
330649,
330651,
330653,
330655,
330657,
330659,
330661,
330663,
330665,
330667,
330669,
330671,
330680,
330682,
330684,
330686,
330688,
330690,
330692,
330694,
330696,
330698,
330700,
330702,
330704,
330706,
330708,
330710,
330713,
330716,
330718,
330720,
330723,
330725,
330727,
330729,
330732,
330734,
330736,
330738,
330741,
330748,
330750,
330752,
330754,
330757,
330760,
330762,
330764,
330766,
330768,
330781,
330842,
330844,
330847,
330849,
330851,
330853,
330855,
330857,
330859,
330861,
330863,
330865,
330867,
330869,
330875,
330877,
330879,
330881,
330883,
330885,
330887,
330890,
330892,
330894,
330896,
330907,
330916,
330918,
330920,
330922,
330924,
330926,
330928,
330930,
330932,
330934,
330936,
330938,
330940,
330942,
330948,
330950,
330952,
330954,
330956,
330958,
330960,
330963,
330965,
330967,
330969,
330972,
330974,
330977,
330979,
330981,
330990,
330992,
330994,https://www.ft.dk/samling/20041/spoergsmaal/S437/svar/121534/116870.pdf
331005,
331007,
331009,
331011,
331013,
331018,
331020,
331022,
331024,
331027,
331029,
331053,
331056,
331060,
331062,
331064,
331066,
331069,
331071,
331073,
331075,
331077,
331079,
331081,
331083,
331085,
331088,
331090,
331093,
331096,
331098,
331100,
331102,
331104,
331106,
331109,
331111,
331114,
331135,
331146,
331148,
331151,
331153,
331155,
331157,
331159,
331161,
331163,
331165,
331167,
331169,
331171,
331174,
331177,
331179,
331182,
331184,
331186,
331189,
331191,
331193,
331195,
331197,
331199,
331201,
331203,
331205,
331207,
331209,
331211,
331213,
331217,
331219,
331221,
331227,
331229,
331231,
331233,
331235,
331238,
331241,
331243,
331246,
331249,
331252,
331254,
331257,
331259,
331261,
331263,
331265,
331267,
331269,
331271,
331273,
331275,
331277,
331295,
331297,
331299,
331301,
331303,
331305,
331307,
331310,
331312,
331314,
331316,
331318,
331320,
331323,
331360,
331362,
331364,
331366,
331368,
331370,
331372,
331375,
331377,
331379,
331381,
331383,
331385,
331425,
331428,
331430,
331432,
331434,
331436,
331438,
331441,
331443,
331445,
331447,
331449,
331451,
331453,
331455,
331457,
331460,
331462,
331464,
331466,
331468,
331470,
331472,
331474,
331476,
331480,
331482,
331495,
331499,
331501,
331503,
331506,
331508,
331510,
331512,
331514,
331516,
331518,
331520,
331522,
331549,
331552,
331556,
331558,
331560,
331563,
331565,
331568,
331571,
331574,
331576,
331579,
331581,
331583,
331585,
331587,
331590,
331592,
331595,
331597,
331600,
331603,
331611,
331613,
331615,
331618,
331620,
331622,
331628,
331653,
331655,
331657,
331659,
331661,
331663,
331665,
331667,
331669,
331671,
331673,
331675,
331677,
331679,
331681,
331683,
331685,
331687,
331689,
331694,
331696,
331698,
331700,
331702,
331704,
331706,
331708,
331710,
331712,
331714,
331716,
331718,
331720,
331722,
331724,
331726,
331728,
331730,
331732,
331735,
331737,
331739,
331748,
331750,
331753,
331755,
331766,
331769,
331771,
331787,
331804,
331807,
331809,
331811,
331830,
331832,
331834,
331836,
331838,
331840,
331843,
331845,
331847,
331878,
331880,
331900,
331902,
331904,
331906,
331908,
331910,
331912,
331914,
331917,
331919,
331922,
331924,
331926,
331928,
331930,
331932,
331934,
331936,
331938,
331940,
331942,
331944,
331946,
331948,
331950,
331952,
331954,
331956,
331958,
331960,
331962,
331964,
331966,
331968,
331970,
331974,
331976,
331978,
331980,
331988,
331990,
331995,
332001,
332003,
332005,
332018,
332020,
332022,
332024,
332033,
332035,
332038,
