id,pdf_link
702778,https://www.ft.dk/samling/20171/kommissionsforslag/KOM(2018)0001/spm/3/svar/1466960/1859091.pdf
703268,https://www.ft.dk/samling/20171/almdel/SUU/spm/341/svar/1468374/1860349.pdf
703277,https://www.ft.dk/samling/20171/almdel/REU/spm/394/svar/1468397/1860373.pdf
704804,https://www.ft.dk/samling/20171/almdel/TRU/spm/415/svar/1470456/1864300.pdf
705044,https://www.ft.dk/samling/20171/almdel/MOF/spm/414/svar/1470772/1864942.pdf
705546,https://www.ft.dk/samling/20171/almdel/MOF/spm/424/svar/1471682/1866173.pdf
705829,https://www.ft.dk/samling/20171/almdel/SUU/spm/517/svar/1472106/1866872.pdf
706609,https://www.ft.dk/samling/20171/almdel/SUU/spm/484/svar/1473391/1868886.pdf
706611,https://www.ft.dk/samling/20171/almdel/SUU/spm/488/svar/1473393/1868891.pdf
706718,https://www.ft.dk/samling/20171/spoergsmaal/S584/svar/1473535/1869203.pdf
707012,https://www.ft.dk/samling/20171/almdel/MOF/spm/451/svar/1474487/1869725.pdf
707016,https://www.ft.dk/samling/20171/almdel/MOF/spm/453/svar/1474497/1869733.pdf
707291,https://www.ft.dk/samling/20171/almdel/SUU/spm/540/svar/1474927/1870325.pdf
707502,https://www.ft.dk/samling/20171/almdel/SOU/spm/295/svar/1475334/1870998.pdf
708510,https://www.ft.dk/samling/20171/almdel/SUU/spm/608/svar/1476961/1873515.pdf
708635,https://www.ft.dk/samling/20171/almdel/MOF/spm/491/svar/1477130/1873782.pdf
708986,https://www.ft.dk/samling/20171/almdel/UUI/spm/480/svar/1477410/1874347.pdf
710212,https://www.ft.dk/samling/20171/spoergsmaal/S656/svar/1479142/1877150.pdf
710822,https://www.ft.dk/samling/20171/almdel/TRU/spm/469/svar/1479948/1878742.pdf
711323,https://www.ft.dk/samling/20171/spoergsmaal/S687/svar/1480684/1879954.pdf
712665,https://www.ft.dk/samling/20171/almdel/MOF/spm/347/svar/1482362/1883359.pdf
713156,https://www.ft.dk/samling/20171/almdel/TRU/spm/506/svar/1483243/1884583.pdf
714015,https://www.ft.dk/samling/20171/spoergsmaal/S723/svar/1484464/1886575.pdf
715238,https://www.ft.dk/samling/20171/lovforslag/L192/spm/3/svar/1486136/1889442.pdf
715266,https://www.ft.dk/samling/20171/almdel/SUU/spm/808/svar/1486182/1889521.pdf
715279,https://www.ft.dk/samling/20171/lovforslag/L159/spm/12/svar/1486212/1889544.pdf
715434,https://www.ft.dk/samling/20171/almdel/MOF/spm/606/svar/1486468/1889889.pdf
716400,https://www.ft.dk/samling/20171/almdel/SAU/spm/375/svar/1487749/1892058.pdf
716476,https://www.ft.dk/samling/20171/lovforslag/L203/spm/7/svar/1487859/1892212.pdf
716721,https://www.ft.dk/samling/20171/kommissionsforslag/KOM(2018)0151/spm/1/svar/1488232/1892858.pdf
716852,https://www.ft.dk/samling/20171/almdel/SAU/spm/359/svar/1488402/1893115.pdf
717662,https://www.ft.dk/samling/20171/almdel/TRU/spm/589/svar/1489400/1895154.pdf
717665,https://www.ft.dk/samling/20171/almdel/MOF/spm/648/svar/1489409/1895161.pdf
718069,https://www.ft.dk/samling/20171/spoergsmaal/S786/svar/1489934/1896126.pdf
718247,https://www.ft.dk/samling/20171/aktstykke/Aktstk.98/pgf/7/spm/1/svar/1490204/1896574.pdf
718596,https://www.ft.dk/samling/20171/beslutningsforslag/B53/spm/18/svar/1490731/1897356.pdf
719437,https://www.ft.dk/samling/20171/almdel/LIU/spm/56/svar/1491781/1899451.pdf
719822,https://www.ft.dk/samling/20171/almdel/FIU/spm/310/svar/1492313/1900256.pdf
720041,https://www.ft.dk/samling/20171/almdel/REU/spm/714/svar/1492637/1900814.pdf
720044,https://www.ft.dk/samling/20171/almdel/REU/spm/706/svar/1492645/1900822.pdf
720184,https://www.ft.dk/samling/20161/almdel/SAU/spm/150/svar/1492853/1901133.pdf
721132,https://www.ft.dk/samling/20171/almdel/UUI/spm/592/svar/1494010/1903316.pdf
721295,https://www.ft.dk/samling/20171/spoergsmaal/S837/svar/1494244/1903740.pdf
721969,https://www.ft.dk/samling/20171/almdel/SOU/spm/469/svar/1495110/1905216.pdf
722332,https://www.ft.dk/samling/20171/almdel/EUU/spm/207/svar/1495562/1906150.pdf
723544,https://www.ft.dk/samling/20171/almdel/EUU/spm/211/svar/1497117/1909445.pdf
724047,https://www.ft.dk/samling/20171/almdel/FIU/spm/344/svar/1497771/1910718.pdf
724070,https://www.ft.dk/samling/20171/almdel/BEU/spm/374/svar/1497805/1910787.pdf
725017,https://www.ft.dk/samling/20171/almdel/EFK/spm/286/svar/1498980/1913423.pdf
726679,https://www.ft.dk/samling/20171/almdel/MOF/spm/802/svar/1500859/1917772.pdf
727456,https://www.ft.dk/samling/20171/almdel/BEU/spm/448/svar/1501727/1919975.pdf
727644,https://www.ft.dk/samling/20171/almdel/EUU/spm/287/svar/1501944/1920517.pdf
728291,https://www.ft.dk/samling/20171/almdel/SUU/spm/893/svar/1502670/1922245.pdf
728385,https://www.ft.dk/samling/20171/almdel/REU/spm/917/svar/1502777/1922468.pdf
728780,https://www.ft.dk/samling/20171/almdel/SUU/spm/1184/svar/1503222/1923515.pdf
728785,https://www.ft.dk/samling/20171/almdel/REU/spm/950/svar/1503247/1923524.pdf
729702,https://www.ft.dk/samling/20171/almdel/ERU/spm/261/svar/1504282/1925915.pdf
729866,https://www.ft.dk/samling/20171/almdel/SOU/spm/541/svar/1504483/1926319.pdf
730027,https://www.ft.dk/samling/20171/almdel/FIU/spm/414/svar/1504727/1926684.pdf
730080,https://www.ft.dk/samling/20171/almdel/TRU/spm/601/svar/1504792/1926796.pdf
730202,https://www.ft.dk/samling/20171/almdel/KUU/spm/315/svar/1504952/1927082.pdf
731168,https://www.ft.dk/samling/20171/almdel/UUI/spm/874/svar/1506164/1929731.pdf
731571,https://www.ft.dk/samling/20171/almdel/UUI/spm/762/svar/1506683/1930697.pdf
731574,https://www.ft.dk/samling/20171/almdel/UUI/spm/789/svar/1506696/1930702.pdf
731577,https://www.ft.dk/samling/20171/almdel/EUU/spm/279/svar/1506709/1930708.pdf
731735,https://www.ft.dk/samling/20171/almdel/REU/spm/989/svar/1506907/1931157.pdf
731743,https://www.ft.dk/samling/20171/almdel/REU/spm/930/svar/1506925/1931186.pdf
731754,https://www.ft.dk/samling/20171/almdel/MOF/spm/833/svar/1506948/1931222.pdf
731768,https://www.ft.dk/samling/20171/almdel/EUU/spm/62/svar/1506972/1931273.pdf
732149,https://www.ft.dk/samling/20171/almdel/UUI/spm/843/svar/1507442/1932376.pdf
